,Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
200,202,I am a student who is learning to code,Yes,22.0,16,,,,Taiwan,,,,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,East Asian,Man,Diversity of the company or organization;Flex time or a flexible schedule;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",Python;SQL,R,,,,,,,,,,Once a year,No,,No,,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes),Meditate;Visit Stack Overflow;Watch help / tutorial videos,MacOS,,,,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per week,Neither easy nor difficult,Appropriate in length,No,Mathematics or statistics,,,Somewhat more welcome now than last year,,4,
442,444,I am a developer by profession,Yes,25.0,21,Yearly,1100000.0,36456.0,Taiwan,New Taiwan dollar,TWD,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL;Redis,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, site reliability","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C;C++;Go;Python;Rust;SQL,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL,Teraform,Node.js,Github;Gitlab;Slack;Microsoft Teams,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",Django;Flask,Express;React.js,Just as welcome now as I felt last year,40.0,4,4
5158,5177,I am a developer by profession,Yes,28.0,18,Monthly,40000.0,15912.0,Taiwan,New Taiwan dollar,TWD,Couchbase;Elasticsearch;Firebase;MongoDB;MySQL;Redis;SQLite,MongoDB;MySQL,"Data or business analyst;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Southeast Asian,Man,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,TensorFlow,Pandas,Slack,Github;Microsoft Azure,Yes,Extremely important,Critically important,Just because;Curious about other opportunities;Better compensation;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Yes,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,20 to 99 employees,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Microsoft Azure;Windows,Docker;Linux;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Laravel;React.js;Vue.js,Flask;jQuery,Somewhat more welcome now than last year,40.0,3,Less than 1 year
5206,5225,I am a developer by profession,Yes,27.0,8,Yearly,600000.0,19885.0,Taiwan,New Taiwan dollar,TWD,Elasticsearch;MariaDB;MySQL;Redis;SQLite,MariaDB;MySQL;Redis;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;SQL;VBA,Flutter;Node.js,,"Github;Gitlab;Google Suite (Docs, Meet, etc)","Github;Gitlab;Google Suite (Docs, Meet, etc)",No,Neutral,Somewhat important,Just because;Curious about other opportunities;Better compensation,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Visit Stack Overflow,Windows,100 to 499 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Windows;WordPress,Docker;Google Cloud Platform;Linux;MacOS;Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",jQuery;Laravel;React.js;Symfony;Vue.js,jQuery;Laravel;Vue.js,Just as welcome now as I felt last year,40.0,8,2
5370,5390,I am a developer by profession,Yes,46.0,20,Monthly,80000.0,31812.0,Taiwan,New Taiwan dollar,TWD,Firebase;Microsoft SQL Server;Oracle,Microsoft SQL Server;Oracle,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development;Family friendliness",Slightly satisfied,I am not interested in new job opportunities,C#;Dart;Go;Kotlin;SQL,C#;JavaScript;Kotlin;SQL;VBA,.NET;.NET Core;Flutter,.NET;Flutter;Xamarin,Github,Github,No,Somewhat important,Very important,Having a bad day (or week or month) at work;Trouble with my direct manager;Trouble with leadership at my company,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Yes,No,No,Often: 1-2 days per week or more,,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",Android;iOS;Windows,Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;jQuery,ASP.NET;jQuery,Somewhat more welcome now than last year,50.0,25,15
5519,5540,I am a developer by profession,Yes,24.0,15,Yearly,588000.0,19487.0,Taiwan,New Taiwan dollar,TWD,,,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript,,,Github;Gitlab,Github;Gitlab,No,Somewhat important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Talent (for hiring companies/recruiters),Meditate;Visit Stack Overflow,Windows,20 to 99 employees,Linux;Windows,Linux;MacOS;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Daily or almost daily,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Vue.js,jQuery;Vue.js,A lot more welcome now than last year,50.0,4,2
5599,5621,I am a developer by profession,Yes,,20,Monthly,,,Taiwan,New Taiwan dollar,TWD,MongoDB;MySQL;Oracle;SQLite,Oracle,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C++;Go;Haskell;Java;SQL,Bash/Shell/PowerShell;Go;Python;R;SQL;VBA,Flutter;Pandas;TensorFlow,,Github,Github,Yes,Somewhat important,Fairly important,Better compensation;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Yes,Yes,Often: 1-2 days per week or more,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,100 to 499 employees,Android;Arduino;Docker;iOS;Linux;Raspberry Pi,Linux;Windows,I have a great deal of influence,,No,Neutral,,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,A lot more welcome now than last year,,26,20
5984,6008,I am a developer by profession,No,32.0,19,Yearly,40000.0,40000.0,Taiwan,United States dollar,USD,Microsoft SQL Server;MongoDB,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;SQL,C#;SQL,.NET;.NET Core;React Native,.NET,Github;Microsoft Teams;Microsoft Azure,Github;Microsoft Teams,No,Neutral,Fairly important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind)",,Not sure,No,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,"5,000 to 9,999 employees",AWS;Docker;Windows,Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;React.js,ASP.NET,A lot less welcome now than last year,50.0,12,6
6085,6110,I am a developer by profession,Yes,28.0,9,Monthly,5000.0,60000.0,Taiwan,United States dollar,USD,PostgreSQL,PostgreSQL,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Python;SQL,HTML/CSS;JavaScript;Python;SQL,,,,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Not sure,Somewhat important,Somewhat important,Better compensation;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once every few years,Not sure,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Ask developers I know/work with,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Linux-based,10 to 19 employees,,,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Django,Django;React.js,Somewhat less welcome now than last year,38.0,13,8
6197,6222,I am a developer by profession,No,29.0,14,Monthly,4000.0,51888.0,Taiwan,European Euro,EUR,PostgreSQL;Redis,PostgreSQL;Redis,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack",,"Independent contractor, freelancer, or self-employed",White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",JavaScript;Python;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Node.js,.NET Core;Cordova;Node.js,Github;Gitlab,Github;Gitlab;Microsoft Teams,No,Extremely important,Somewhat important,,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once every few years,No,No,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,2 to 9 employees,Android;Docker;Linux,Android;Docker;Linux;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;React.js,Angular;ASP.NET Core;Django;jQuery;React.js,Just as welcome now as I felt last year,28.0,12,7
